y_m,z_m,recruitment_presence_qnat,recruitment_presence_qrel,recruitment_age_days_qnat,recruitment_age_days_qrel,recruitment_effective_age_days_qnat,recruitment_effective_age_days_qrel,camporeale_biomass_qnat,camporeale_biomass_qrel
55.5,2.08125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55.75,2.103125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,2.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56.25,2.1468749999999996,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56.5,2.1687499999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56.75,2.190625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,2.2125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57.25,2.234375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57.5,2.2562499999999996,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57.75,2.2781249999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,2.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58.25,2.302083333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58.5,2.3041666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58.75,2.30625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,2.308333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59.25,2.3104166666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59.5,2.3125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59.75,2.314583333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,2.3166666666666664,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60.25,2.3187499999999996,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60.5,2.3208333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60.75,2.3229166666666665,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,2.3249999999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61.25,2.3270833333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61.5,2.3291666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61.75,2.33125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,2.333333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62.25,2.3354166666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62.5,2.3375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62.75,2.339583333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,2.3416666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63.25,2.34375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63.5,2.345833333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63.75,2.3479166666666664,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,2.3499999999999996,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64.25,2.3520833333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64.5,2.3541666666666665,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64.75,2.3562499999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2.3583333333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65.25,2.3604166666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65.5,2.3625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65.75,2.364583333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,2.3666666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66.25,2.36875,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66.5,2.370833333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66.75,2.3729166666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67.25,2.377083333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67.5,2.3791666666666664,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67.75,2.38125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,2.3833333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68.25,2.3854166666666665,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68.5,2.3874999999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68.75,2.3895833333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,2.3916666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69.25,2.39375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69.5,2.395833333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69.75,2.3979166666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,2.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70.25,2.402083333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70.5,2.404166666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70.75,2.40625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,2.408333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71.25,2.4104166666666664,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71.5,2.4125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71.75,2.4145833333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,2.4166666666666665,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72.25,2.4187499999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72.5,2.4208333333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72.75,2.4229166666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,2.425,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73.25,2.427083333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73.5,2.4291666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73.75,2.43125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,2.433333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74.25,2.435416666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74.5,2.4375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74.75,2.439583333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,2.4416666666666664,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75.25,2.44375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75.5,2.4458333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75.75,2.4479166666666665,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,2.45,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76.25,2.4520833333333334,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76.5,2.4541666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76.75,2.45625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,2.4583333333333335,0,0,0.0,0.0,0.0,0.0,0.0,0.0
77.25,2.4604166666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0
77.5,2.4625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
77.75,2.464583333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,2.466666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0
78.25,2.46875,0,0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,2.470833333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0
78.75,2.4729166666666664,0,0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,2.475,1,0,175.0,0.0,83.0,0.0,0.2604802377850616,0.4336001874900649
79.25,2.4770833333333333,1,0,180.0,0.0,88.0,0.0,0.28709832165294674,0.43373255192783183
